week_start,store_name,product_name,category,units_sold,expected_units,deviation_units,anomaly_type,z_score,if_score
2026-04-13,Mumbai Central,Maggi Noodles 12-Pack,Ready Meals,259,945.25,-686.2,Z-Score,-3.8803386872245165,0.09795221842193436
2026-04-13,Bengaluru South,Coca-Cola 2L,Beverages,263,850.25,-587.2,Z-Score,-3.8191890601492964,0.10158743698316941
2025-11-10,Bengaluru South,Lay's Chips 100g,Snacks,2351,1981.0,370.0,HIGH CONFIDENCE,3.802484384285251,-0.03526594205116629
2026-04-13,Pune East,Whole Milk 1L,Dairy,223,835.0,-612.0,Z-Score,-3.8024201385851426,0.10825942736939775
2026-04-13,Pune East,Maggi Noodles 12-Pack,Ready Meals,289,938.5,-649.5,Z-Score,-3.7976105548163397,0.1021790525285523
2025-11-10,Mumbai Central,Lay's Chips 100g,Snacks,2302,1856.75,445.2,HIGH CONFIDENCE,3.793580000261179,-0.015568279478118563
2026-04-13,Bengaluru South,Maggi Noodles 12-Pack,Ready Meals,291,898.25,-607.2,Z-Score,-3.792118344851671,0.0836147553904043
2025-11-10,Mumbai Central,Basmati Rice 5Kg,Staples,919,703.25,215.8,Z-Score,3.782320819291197,0.14356907014897569
2026-04-13,Delhi North,Whole Milk 1L,Dairy,239,863.0,-624.0,Z-Score,-3.758921932981812,0.0999792722086098
2025-11-10,Mumbai Central,Parle-G Biscuits,Snacks,3786,3060.5,725.5,HIGH CONFIDENCE,3.7549169390437473,-0.1274268336962855
2026-04-13,Delhi North,Coca-Cola 2L,Beverages,296,835.75,-539.8,Z-Score,-3.754768643467417,0.11701114583551314
2026-04-13,Bengaluru South,Parle-G Biscuits,Snacks,287,2107.0,-1820.0,HIGH CONFIDENCE,-3.74943603808257,-0.021119339821165983
2025-11-10,Pune East,Parle-G Biscuits,Snacks,3865,3018.25,846.8,HIGH CONFIDENCE,3.748510823996854,-0.14976860936021352
2025-11-10,Pune East,Dettol Hand Wash 500ml,Personal Care,915,729.5,185.5,Z-Score,3.7438086390902914,0.1523843209781532
2026-04-13,Chennai West,Coca-Cola 2L,Beverages,276,789.5,-513.5,Z-Score,-3.740019147082521,0.08622534021657291
2026-04-13,Bengaluru South,Amul Butter 500g,Dairy,89,260.25,-171.2,Z-Score,-3.71000396709564,0.07154642834729863
2026-04-13,Bengaluru South,Basmati Rice 5Kg,Staples,133,537.5,-404.5,Z-Score,-3.6585258387687993,0.11449076475923281
2025-11-10,Pune East,Amul Butter 500g,Dairy,515,412.5,102.5,Z-Score,3.6501037068088418,0.11594728770745538
2025-11-10,Chennai West,Colgate Toothpaste,Personal Care,716,594.5,121.5,Z-Score,3.643555150302197,0.14357590219931343
2025-11-10,Mumbai Central,Colgate Toothpaste,Personal Care,711,548.5,162.5,Z-Score,3.6177899728178633,0.12978054248148368
2025-11-17,Delhi North,Dove Soap 3-Pack,Personal Care,619,530.25,88.8,Z-Score,3.6171818612057303,0.15517633971085992
2025-11-03,Mumbai Central,Dettol Hand Wash 500ml,Personal Care,897,694.5,202.5,Z-Score,3.615043548491573,0.1422701309729787
2025-11-17,Chennai West,Dettol Hand Wash 500ml,Personal Care,883,792.75,90.2,Z-Score,3.574355440906918,0.1549059730992804
2025-11-03,Pune East,Lay's Chips 100g,Snacks,2208,1798.0,410.0,HIGH CONFIDENCE,3.56778746104207,-0.0043090237382746865
2026-04-13,Mumbai Central,Rin Detergent 1Kg,Household,153,595.25,-442.2,Z-Score,-3.56336899757764,0.1014184511398919
2026-04-13,Delhi North,Dettol Hand Wash 500ml,Personal Care,136,526.5,-390.5,Z-Score,-3.5391592197416917,0.12585555186787079
2025-11-03,Delhi North,Kurkure Snacks 200g,Snacks,2008,1507.5,500.5,Z-Score,3.5346667568048855,0.016106330947540215
2026-04-13,Pune East,Sunflower Oil 1L,Staples,193,681.75,-488.8,Z-Score,-3.5332523346380285,0.11661198654463634
2026-04-13,Chennai West,Sunflower Oil 1L,Staples,167,668.5,-501.5,Z-Score,-3.51475636023098,0.08906889459753742
2026-04-13,Pune East,Colgate Toothpaste,Personal Care,108,455.5,-347.5,Z-Score,-3.493278614568992,0.1303182637054306
2025-11-03,Pune East,Dove Soap 3-Pack,Personal Care,623,464.25,158.8,Z-Score,3.4897265956821086,0.12244059364319759
2025-11-10,Bengaluru South,Sunflower Oil 1L,Staples,1069,838.5,230.5,Z-Score,3.4861872048564027,0.08808921045610074
2025-11-10,Chennai West,Rin Detergent 1Kg,Household,982,791.75,190.2,Z-Score,3.4855944176397338,0.13713125473012444
2026-04-13,Mumbai Central,Colgate Toothpaste,Personal Care,108,462.5,-354.5,Z-Score,-3.4810711657055604,0.13136007074987682
2025-11-03,Bengaluru South,Haldiram Namkeen 400g,Snacks,1313,1084.75,228.2,Z-Score,3.4783494320242054,0.08031547713376597
2026-04-13,Mumbai Central,Sunflower Oil 1L,Staples,164,703.75,-539.8,Z-Score,-3.4780300441371046,0.1133548284811991
2026-04-13,Delhi North,Sunflower Oil 1L,Staples,175,657.75,-482.8,Z-Score,-3.4541338619413655,0.1125817835409113
2026-04-13,Delhi North,Basmati Rice 5Kg,Staples,162,573.0,-411.0,Z-Score,-3.449024347563708,0.12894453296342695
2026-04-13,Delhi North,Colgate Toothpaste,Personal Care,115,450.5,-335.5,Z-Score,-3.4438343466294294,0.12827449426232634
2025-11-03,Chennai West,Parle-G Biscuits,Snacks,3643,3009.25,633.8,HIGH CONFIDENCE,3.434486959006904,-0.13953076943501042
2025-11-03,Bengaluru South,Rin Detergent 1Kg,Household,989,737.0,252.0,Z-Score,3.4317889069263336,0.13942410295558028
2026-04-13,Bengaluru South,Colgate Toothpaste,Personal Care,105,444.0,-339.0,Z-Score,-3.4275624916441667,0.1089108861356598
2025-11-10,Chennai West,Parle-G Biscuits,Snacks,3634,3263.5,370.5,HIGH CONFIDENCE,3.4145937752159004,-0.1436092886867042
2026-04-13,Mumbai Central,Dove Soap 3-Pack,Personal Care,97,393.0,-296.0,Z-Score,-3.413899841658795,0.13287646373146228
2025-11-10,Chennai West,Dettol Hand Wash 500ml,Personal Care,865,747.75,117.2,Z-Score,3.404303994430165,0.15921611477387282
2026-04-13,Pune East,Basmati Rice 5Kg,Staples,154,574.5,-420.5,Z-Score,-3.3868196047547494,0.13063335583693175
2025-11-03,Pune East,Kurkure Snacks 200g,Snacks,2025,1727.75,297.2,HIGH CONFIDENCE,3.384677656171022,-0.00609698859634189
2025-11-03,Chennai West,Dove Soap 3-Pack,Personal Care,616,492.0,124.0,Z-Score,3.378079293180115,0.13395141563338547
2026-04-13,Chennai West,Basmati Rice 5Kg,Staples,154,552.25,-398.2,Z-Score,-3.371911226845766,0.1286301849734155
2026-04-13,Mumbai Central,Dettol Hand Wash 500ml,Personal Care,155,568.75,-413.8,Z-Score,-3.371326164783204,0.13327221783424908
2026-04-13,Delhi North,Dove Soap 3-Pack,Personal Care,112,372.25,-260.2,Z-Score,-3.3707437737253216,0.12747890536840195
2025-11-03,Bengaluru South,Lay's Chips 100g,Snacks,2225,1827.75,397.2,HIGH CONFIDENCE,3.369006026773653,-0.009144853893316318
2025-11-10,Mumbai Central,Haldiram Namkeen 400g,Snacks,1284,1037.5,246.5,Z-Score,3.3638206157684825,0.06375981815223442
2026-04-13,Chennai West,Parle-G Biscuits,Snacks,571,2008.0,-1437.0,HIGH CONFIDENCE,-3.3557197749889944,-0.07793582282624911
2025-11-10,Delhi North,Colgate Toothpaste,Personal Care,694,597.25,96.8,Z-Score,3.353104152425958,0.15200611086586063
2025-11-10,Pune East,Colgate Toothpaste,Personal Care,688,544.0,144.0,Z-Score,3.345908543395084,0.1321780580083085
2026-04-13,Pune East,Parle-G Biscuits,Snacks,547,2077.25,-1530.2,HIGH CONFIDENCE,-3.3383634907404858,-0.052363404204450514
2026-04-13,Chennai West,Rin Detergent 1Kg,Household,152,564.25,-412.2,Z-Score,-3.3354760789988527,0.12443096020611255
2025-11-10,Bengaluru South,Parle-G Biscuits,Snacks,3654,2997.75,656.2,HIGH CONFIDENCE,3.3306980792942418,-0.1269267558295768
2025-11-10,Chennai West,Dove Soap 3-Pack,Personal Care,612,536.25,75.8,Z-Score,3.325895647793628,0.15474439555170527
2026-04-13,Pune East,Amul Butter 500g,Dairy,105,300.75,-195.8,Z-Score,-3.3205017449593788,0.11288846112733769
2025-11-17,Delhi North,Basmati Rice 5Kg,Staples,844,676.0,168.0,Z-Score,3.319173743586221,0.14337483222828196
2026-04-13,Pune East,Haldiram Namkeen 400g,Snacks,199,742.25,-543.2,Z-Score,-3.3146893762992784,0.1026724737660607
2026-04-13,Chennai West,Dettol Hand Wash 500ml,Personal Care,154,519.5,-365.5,Z-Score,-3.3127281414015726,0.08485162505373567
2025-11-03,Bengaluru South,Colgate Toothpaste,Personal Care,693,593.5,99.5,Z-Score,3.3119265125101514,0.15433517385825618
2025-10-27,Pune East,Kurkure Snacks 200g,Snacks,2003,1614.0,389.0,Z-Score,3.3001170884785416,0.02158096829951084
2026-04-13,Delhi North,Haldiram Namkeen 400g,Snacks,193,764.75,-571.8,Z-Score,-3.299414821144293,0.09270797165461675
2026-04-13,Mumbai Central,Kurkure Snacks 200g,Snacks,316,1059.25,-743.2,Z-Score,-3.2820027335500215,0.07089915513046208
2025-11-10,Chennai West,Haldiram Namkeen 400g,Snacks,1262,1108.75,153.2,Z-Score,3.2763899087504873,0.0827815430979636
2026-04-13,Chennai West,Kurkure Snacks 200g,Snacks,309,1098.5,-789.5,Z-Score,-3.272151948604461,0.07496098531437867
2026-04-13,Mumbai Central,Lay's Chips 100g,Snacks,352,1297.25,-945.2,Z-Score,-3.269847947823375,0.032603171351734406
2026-04-13,Pune East,Rin Detergent 1Kg,Household,176,647.75,-471.8,Z-Score,-3.268160410423618,0.11476042772634165
2026-04-13,Chennai West,Colgate Toothpaste,Personal Care,130,442.5,-312.5,Z-Score,-3.267919019107723,0.13641686976828638
2025-11-10,Mumbai Central,Dettol Hand Wash 500ml,Personal Care,860,758.0,102.0,Z-Score,3.2666666220883833,0.14853352354657395
2026-04-13,Pune East,Kurkure Snacks 200g,Snacks,300,1058.75,-758.8,Z-Score,-3.245639583353023,0.008409433474860228
2026-04-13,Pune East,Dove Soap 3-Pack,Personal Care,107,414.75,-307.8,Z-Score,-3.241802243267397,0.12891810443039203
2025-11-03,Chennai West,Haldiram Namkeen 400g,Snacks,1254,992.0,262.0,Z-Score,3.227752724009645,0.06921414711187557
2025-11-17,Pune East,Dettol Hand Wash 500ml,Personal Care,858,796.25,61.8,Z-Score,3.2255358521950805,0.1532175032558975
2025-11-10,Delhi North,Haldiram Namkeen 400g,Snacks,1261,1052.75,208.2,Z-Score,3.2213179879171645,0.08803779578147519
2025-11-03,Bengaluru South,Dove Soap 3-Pack,Personal Care,607,520.0,87.0,Z-Score,3.2174500048736188,0.14635457587409612
2025-11-10,Bengaluru South,Rin Detergent 1Kg,Household,962,832.5,129.5,Z-Score,3.2160078579434686,0.1296257149959965
2025-11-03,Pune East,Rin Detergent 1Kg,Household,944,740.0,204.0,Z-Score,3.21429004667137,0.14740729913716044
2025-11-10,Chennai West,Kurkure Snacks 200g,Snacks,1973,1755.75,217.2,Z-Score,3.208625100923458,0.023559424495521952
2025-11-10,Mumbai Central,Kurkure Snacks 200g,Snacks,1951,1697.75,253.2,Z-Score,3.206286187607704,0.021628692072333422
2026-04-13,Pune East,Lay's Chips 100g,Snacks,381,1264.75,-883.8,Z-Score,-3.204944024893533,0.05375012539274848
2025-11-10,Delhi North,Dove Soap 3-Pack,Personal Care,589,498.75,90.2,Z-Score,3.2036951372453126,0.14729202729984403
2026-04-13,Chennai West,Haldiram Namkeen 400g,Snacks,198,723.0,-525.0,Z-Score,-3.1923556617815865,0.11098623141656072
2026-04-13,Mumbai Central,Parle-G Biscuits,Snacks,627,2156.75,-1529.8,HIGH CONFIDENCE,-3.188095923432727,-0.028365324732662955
2025-11-10,Mumbai Central,Whole Milk 1L,Dairy,1278,1051.5,226.5,Z-Score,3.1851942845743326,0.09382912484671124
2026-04-13,Bengaluru South,Haldiram Namkeen 400g,Snacks,203,680.5,-477.5,Z-Score,-3.1829325770396557,0.10908207399945069
2025-11-03,Pune East,Maggi Noodles 12-Pack,Ready Meals,1494,1226.25,267.8,Z-Score,3.1829125751808136,0.05365035388578476
2025-11-10,Chennai West,Amul Butter 500g,Dairy,493,434.25,58.8,Z-Score,3.182061217821591,0.09934898537400838
2025-11-10,Mumbai Central,Rin Detergent 1Kg,Household,937,800.5,136.5,Z-Score,3.177850718143432,0.13804433381308817
2026-04-13,Mumbai Central,Basmati Rice 5Kg,Staples,177,527.5,-350.5,Z-Score,-3.1651047869917712,0.10309229045556556
2026-04-13,Delhi North,Parle-G Biscuits,Snacks,591,1940.5,-1349.5,HIGH CONFIDENCE,-3.1639245604707913,-0.05874084002504054
2025-11-10,Pune East,Haldiram Namkeen 400g,Snacks,1239,1086.75,152.2,Z-Score,3.1594213865509224,0.09757313244595056
2025-11-17,Pune East,Haldiram Namkeen 400g,Snacks,1239,1161.75,77.2,Z-Score,3.1594213865509224,0.09254617526937736
2025-11-17,Chennai West,Rin Detergent 1Kg,Household,942,848.0,94.0,Z-Score,3.1568681286451032,0.14323929483095277
2022-02-07,Mumbai Central,Tata Tea Premium 500g,Beverages,226,409.75,-183.8,Z-Score,-3.15530413330747,0.14879099683160552
2026-04-13,Pune East,Dettol Hand Wash 500ml,Personal Care,157,568.5,-411.5,Z-Score,-3.148310176112683,0.13242108978048034
2026-04-13,Delhi North,Kurkure Snacks 200g,Snacks,360,1128.0,-768.0,Z-Score,-3.1342443285310986,0.05999094964096452
2025-11-10,Pune East,Rin Detergent 1Kg,Household,934,810.25,123.8,Z-Score,3.1298831396779456,0.14366725773206668
2026-04-13,Bengaluru South,Rin Detergent 1Kg,Household,169,628.25,-459.2,Z-Score,-3.12156146959031,0.11293820461318427
2026-04-13,Bengaluru South,Kurkure Snacks 200g,Snacks,325,1128.5,-803.5,Z-Score,-3.1184024135762214,0.04953968630481509
2025-11-10,Delhi North,Kurkure Snacks 200g,Snacks,1904,1609.5,294.5,HIGH CONFIDENCE,3.1138131446234887,-0.029159373199427407
2025-11-03,Bengaluru South,Whole Milk 1L,Dairy,1275,1077.75,197.2,Z-Score,3.1132604923825946,0.09777599211011778
2025-11-24,Pune East,Rin Detergent 1Kg,Household,932,886.75,45.2,Z-Score,3.113001758279261,0.09558994132488874
2025-11-03,Chennai West,Dettol Hand Wash 500ml,Personal Care,834,730.75,103.2,Z-Score,3.1114376143868685,0.15955085261329366
2026-04-13,Mumbai Central,Haldiram Namkeen 400g,Snacks,194,738.0,-544.0,Z-Score,-3.1112594892266543,0.11043318854430673
2025-11-10,Pune East,Whole Milk 1L,Dairy,1290,1078.75,211.2,Z-Score,3.101515718527243,0.08800330293303082
2025-11-03,Mumbai Central,Dove Soap 3-Pack,Personal Care,592,508.25,83.8,Z-Score,3.0946520826252275,0.14706200357614396
2025-11-10,Bengaluru South,Maggi Noodles 12-Pack,Ready Meals,1474,1211.0,263.0,Z-Score,3.090571408790556,0.0662266811898754
2025-11-03,Mumbai Central,Haldiram Namkeen 400g,Snacks,1237,1014.5,222.5,Z-Score,3.0846199139934627,0.09378437378764526
2025-11-10,Pune East,Maggi Noodles 12-Pack,Ready Meals,1477,1276.75,200.2,Z-Score,3.084432165877949,0.056591952716796956
2025-11-17,Mumbai Central,Lay's Chips 100g,Snacks,2104,1959.75,144.2,HIGH CONFIDENCE,3.0763703932249014,-0.03554812156986664
2025-11-03,Mumbai Central,Colgate Toothpaste,Personal Care,664,533.25,130.8,Z-Score,3.0644790714735834,0.13848762263142017
2025-11-03,Chennai West,Maggi Noodles 12-Pack,Ready Meals,1470,1254.75,215.2,Z-Score,3.0392116873425836,0.07298963507187517
2025-11-10,Bengaluru South,Haldiram Namkeen 400g,Snacks,1239,1146.25,92.8,Z-Score,3.0342639647532814,0.0902107685140785
2024-11-11,Pune East,Lay's Chips 100g,Snacks,2064,1488.0,576.0,Z-Score,3.0339761123968993,0.015608915672420287
2024-10-28,Chennai West,Colgate Toothpaste,Personal Care,664,500.5,163.5,Z-Score,3.0302502752009755,0.14332128143767536
2024-11-11,Chennai West,Lay's Chips 100g,Snacks,2118,1706.0,412.0,HIGH CONFIDENCE,3.0257659566485593,-0.005252338055233063
2025-11-10,Delhi North,Sunflower Oil 1L,Staples,996,824.75,171.2,Z-Score,3.0217098166044445,0.13037193317511225
2025-11-10,Pune East,Sunflower Oil 1L,Staples,975,802.75,172.2,Z-Score,3.0211209142055133,0.1241032012285539
2025-11-10,Bengaluru South,Dettol Hand Wash 500ml,Personal Care,846,728.25,117.8,Z-Score,3.017452929497576,0.15954014425533786
2025-11-10,Chennai West,Maggi Noodles 12-Pack,Ready Meals,1464,1284.5,179.5,Z-Score,3.00524473772744,0.06308209413888965
2025-10-13,Pune East,Lay's Chips 100g,Snacks,2056,1502.0,554.0,HIGH CONFIDENCE,3.0043199263610565,-0.026456976840679602
2025-11-03,Delhi North,Lay's Chips 100g,Snacks,2113,1673.25,439.8,Z-Score,3.0040199929405538,0.012581122493120711
2025-11-03,Bengaluru South,Kurkure Snacks 200g,Snacks,1960,1696.25,263.8,Z-Score,3.0037233283232707,0.014523815888676017
2025-11-10,Bengaluru South,Colgate Toothpaste,Personal Care,666,604.25,61.8,Z-Score,3.0024601806867386,0.15595260954276963
2025-11-03,Mumbai Central,Amul Butter 500g,Dairy,469,383.75,85.2,Z-Score,3.0024514388239054,0.12302988366331519
2025-11-03,Pune East,Parle-G Biscuits,Snacks,3504,2942.0,562.0,IsoForest,2.977455481133629,-0.1269267558295768
2025-11-17,Chennai West,Lay's Chips 100g,Snacks,2103,1859.5,243.5,IsoForest,2.9734170646650204,-0.0020791515545869332
2025-11-10,Delhi North,Lay's Chips 100g,Snacks,2094,1819.75,274.2,IsoForest,2.9378872480241793,-0.017859187727021886
2024-11-18,Pune East,Lay's Chips 100g,Snacks,2024,1703.5,320.5,IsoForest,2.885695182217685,-0.010169245129547533
2025-10-27,Chennai West,Parle-G Biscuits,Snacks,3392,2784.0,608.0,IsoForest,2.879688166613359,-0.12095213816241046
2025-11-17,Pune East,Parle-G Biscuits,Snacks,3435,3191.5,243.5,IsoForest,2.8300792521653118,-0.16659608967630612
2025-10-27,Mumbai Central,Parle-G Biscuits,Snacks,3344,2908.0,436.0,IsoForest,2.783466579684899,-0.10886498694903435
2025-11-17,Delhi North,Lay's Chips 100g,Snacks,2042,1866.25,175.8,IsoForest,2.7568923672004186,-0.02669174266752916
2025-11-24,Pune East,Kurkure Snacks 200g,Snacks,1857,1859.5,-2.5,IsoForest,2.738942411973898,-0.018816768622402558
2025-11-24,Mumbai Central,Lay's Chips 100g,Snacks,2007,2050.75,-43.8,IsoForest,2.7250101311919774,-0.04814541119653204
2025-11-17,Delhi North,Parle-G Biscuits,Snacks,3358,3198.0,160.0,IsoForest,2.7189142503915824,-0.1172846030243555
2024-11-11,Delhi North,Parle-G Biscuits,Snacks,3356,2965.75,390.2,IsoForest,2.714662108135809,-0.12393338348749361
2025-10-27,Delhi North,Parle-G Biscuits,Snacks,3354,2959.5,394.5,IsoForest,2.710409965880036,-0.10894511085520986
2025-11-24,Bengaluru South,Kurkure Snacks 200g,Snacks,1881,1932.5,-51.5,IsoForest,2.707914194616812,-0.031966491338778824
2023-11-13,Delhi North,Parle-G Biscuits,Snacks,3352,2759.5,592.5,IsoForest,2.7061578236242623,-0.10027906603063075
2024-10-28,Bengaluru South,Parle-G Biscuits,Snacks,3347,2762.0,585.0,IsoForest,2.6851378850457475,-0.12244124802312983
2024-11-04,Chennai West,Kurkure Snacks 200g,Snacks,1836,1658.0,178.0,IsoForest,2.6750515097063157,-0.02055926982179035
2025-11-17,Chennai West,Parle-G Biscuits,Snacks,3296,3417.0,-121.0,IsoForest,2.667494206175987,-0.14463237250769811
2025-11-24,Chennai West,Lay's Chips 100g,Snacks,2012,1917.75,94.2,IsoForest,2.65583378663155,-0.03779879459949065
2025-11-24,Chennai West,Parle-G Biscuits,Snacks,3277,3491.25,-214.2,IsoForest,2.625497484839424,-0.126721627342418
2025-11-17,Bengaluru South,Lay's Chips 100g,Snacks,2004,2103.75,-99.8,IsoForest,2.608698748916008,-0.02601687412458864
2025-11-03,Delhi North,Parle-G Biscuits,Snacks,3304,3064.25,239.8,IsoForest,2.604106409485703,-0.12792725002332128
2024-11-04,Mumbai Central,Parle-G Biscuits,Snacks,3248,2696.5,551.5,IsoForest,2.5724728364757374,-0.1094063446149568
2025-11-24,Delhi North,Parle-G Biscuits,Snacks,3269,3281.75,-12.8,IsoForest,2.52969392000967,-0.1207193970431355
2025-11-10,Pune East,Kurkure Snacks 200g,Snacks,1797,1798.25,-1.2,IsoForest,2.508322681903496,-0.02689717630627264
2025-11-24,Mumbai Central,Kurkure Snacks 200g,Snacks,1775,1814.25,-39.2,IsoForest,2.5078526401313983,-0.020888899776450587
2024-11-18,Bengaluru South,Parle-G Biscuits,Snacks,3256,3172.5,83.5,IsoForest,2.493782908900428,-0.11540414046046377
2024-10-07,Delhi North,Kurkure Snacks 200g,Snacks,1744,1120.0,624.0,IsoForest,2.466346048959801,-0.0030987964844777505
2024-11-11,Mumbai Central,Lay's Chips 100g,Snacks,1926,1576.0,350.0,IsoForest,2.431606201040773,-0.011976763101975374
2024-11-25,Pune East,Parle-G Biscuits,Snacks,3245,2954.5,290.5,IsoForest,2.4242606506583515,-0.10270398448613471
2024-11-25,Mumbai Central,Parle-G Biscuits,Snacks,3177,2903.0,274.0,IsoForest,2.4164253805606286,-0.11159097560626285
2023-11-13,Chennai West,Parle-G Biscuits,Snacks,3170,2667.75,502.2,IsoForest,2.3889896331019367,-0.13699288252431185
2025-10-06,Chennai West,Lay's Chips 100g,Snacks,1935,1370.25,564.8,IsoForest,2.3871094744493826,-0.013853620958214519
2024-11-18,Delhi North,Parle-G Biscuits,Snacks,3201,3126.75,74.2,IsoForest,2.3851210833133774,-0.11640069350169302
2025-11-24,Delhi North,Lay's Chips 100g,Snacks,1931,1976.5,-45.5,IsoForest,2.3705379100573905,-0.039703765515729184
2025-11-17,Bengaluru South,Kurkure Snacks 200g,Snacks,1788,1886.25,-98.2,IsoForest,2.359683189114272,-0.03423520493446419
2024-11-04,Mumbai Central,Haldiram Namkeen 400g,Snacks,1114,808.25,305.8,IsoForest,2.353945737007773,-0.020262189362154626
2025-11-24,Mumbai Central,Parle-G Biscuits,Snacks,3148,3159.0,-11.0,IsoForest,2.3526876872995275,-0.16186975827906747
2024-11-04,Mumbai Central,Kurkure Snacks 200g,Snacks,1734,1610.75,123.2,IsoForest,2.34514937054885,-0.010730385952855359
2025-10-13,Bengaluru South,Parle-G Biscuits,Snacks,3184,2502.0,682.0,IsoForest,2.342381169532703,-0.15665192306196118
2024-11-11,Bengaluru South,Parle-G Biscuits,Snacks,3179,2985.0,194.0,IsoForest,2.3318671598543887,-0.143098265695483
2025-10-13,Pune East,Kurkure Snacks 200g,Snacks,1750,1330.25,419.8,IsoForest,2.327670560015015,-0.03709713180875196
2025-10-06,Pune East,Parle-G Biscuits,Snacks,3199,2328.0,871.0,IsoForest,2.32600983134614,-0.11537205802217732
2023-11-06,Pune East,Kurkure Snacks 200g,Snacks,1744,1471.0,273.0,IsoForest,2.3046085870079747,-0.003387144015018495
2025-10-13,Delhi North,Lay's Chips 100g,Snacks,1908,1401.5,506.5,IsoForest,2.2904824820007272,-0.005872966125031409
2025-10-06,Pune East,Lay's Chips 100g,Snacks,1862,1215.0,647.0,IsoForest,2.2851574149918683,-0.05018808149305687
2024-11-04,Delhi North,Parle-G Biscuits,Snacks,3148,2941.5,206.5,IsoForest,2.2724393135353846,-0.11087199549796278
2025-10-13,Pune East,Parle-G Biscuits,Snacks,3172,2575.0,597.0,IsoForest,2.2683408721846248,-0.15405621431884653
2025-11-24,Bengaluru South,Parle-G Biscuits,Snacks,3148,3139.5,8.5,IsoForest,2.2666802998488405,-0.14580870991912742
2023-11-06,Chennai West,Parle-G Biscuits,Snacks,3109,2554.5,554.5,IsoForest,2.2541580540740234,-0.10305802237371842
2025-11-03,Mumbai Central,Parle-G Biscuits,Snacks,3095,3026.25,68.8,IsoForest,2.2362015582361363,-0.11996107611602735
2025-10-06,Bengaluru South,Parle-G Biscuits,Snacks,3132,2301.75,830.2,IsoForest,2.233035468878235,-0.11783667930655428
2024-11-04,Pune East,Kurkure Snacks 200g,Snacks,1725,1581.75,143.2,IsoForest,2.231579005819014,-0.00596950470119062
2023-11-13,Bengaluru South,Parle-G Biscuits,Snacks,3122,2819.25,302.8,IsoForest,2.2120074495216064,-0.1002904695794572
